Language,Original,English,French,Spanish,Italian,German,Russian,Polish,Czech,Hungarian,Japanese
STR_ITEMS_ALKALINEBATTERY9V,Alkaline Battery 9V,Alkaline Battery 9V,Alkaline Battery 9V,Pila alcalina de 9V,Alkaline Battery 9V,Alkaline Battery 9V,Батарейка 9В,Alkaline Battery 9V,Alkaline Battery 9V,Alkaline Battery 9V,Alkaline Battery 9V
STR_ITEMS_ALKALINEBATTERY9V_DESC,"BebulCell alkaline 9V battery. Both electrical contacts on one side of the battery, the positive one being the smaller one. Licking both contacts can tell you if it still carries a charge and possibly give you a slight energy boost.","BebulCell alkaline 9V battery. Both electrical contacts on one side of the battery, the positive one being the smaller one. Licking both contacts can tell you if it still carries a charge and possibly give you a slight energy boost.","BebulCell alkaline 9V battery. Both electrical contacts on one side of the battery, the positive one being the smaller one. Licking both contacts can tell you if it still carries a charge and possibly give you a slight energy boost.","Pila alcalina BebulCell de 9V. Tiene contactos eléctricos a ambos extremos, el positivo es el más pequeño. Lamiendo ambos contactos sabrás si aún tiene carga y tal vez te de algo de energía.","BebulCell alkaline 9V battery. Both electrical contacts on one side of the battery, the positive one being the smaller one. Licking both contacts can tell you if it still carries a charge and possibly give you a slight energy boost.","BebulCell alkaline 9V battery. Both electrical contacts on one side of the battery, the positive one being the smaller one. Licking both contacts can tell you if it still carries a charge and possibly give you a slight energy boost.","Щелочная 9В батарейка BebulCell. Обе клеммы находятся на одной стороне батарейки, положительная та, которая поменьше. Лизнув клеммы вы можете узнать, остался ли еще заряд и, возможно, это придаст вам небольшой заряд энергии.","BebulCell alkaline 9V battery. Both electrical contacts on one side of the battery, the positive one being the smaller one. Licking both contacts can tell you if it still carries a charge and possibly give you a slight energy boost.","BebulCell alkaline 9V battery. Both electrical contacts on one side of the battery, the positive one being the smaller one. Licking both contacts can tell you if it still carries a charge and possibly give you a slight energy boost.","BebulCell alkaline 9V battery. Both electrical contacts on one side of the battery, the positive one being the smaller one. Licking both contacts can tell you if it still carries a charge and possibly give you a slight energy boost.","BebulCell alkaline 9V battery. Both electrical contacts on one side of the battery, the positive one being the smaller one. Licking both contacts can tell you if it still carries a charge and possibly give you a slight energy boost."
STR_ITEMS_GASCANISTER_LARGE,Large Gas Canister,Large Gas Canister,Large Gas Canister,Bombona de gas grande,Large Gas Canister,Large Gas Canister,Большой газовый баллон,Large Gas Canister,Large Gas Canister,Large Gas Canister,Large Gas Canister
STR_ITEMS_GASCANISTER_LARGE_DESC,A large Butane canister. Do not puncture. Do not throw in fire. Do not operate near open flame.,A large Butane canister. Do not puncture. Do not throw in fire. Do not operate near open flame.,A large Butane canister. Do not puncture. Do not throw in fire. Do not operate near open flame.,Una bombona de butano grande. No perforar. No arrojar al fuego. No someter a altas temperaturas.,A large Butane canister. Do not puncture. Do not throw in fire. Do not operate near open flame.,A large Butane canister. Do not puncture. Do not throw in fire. Do not operate near open flame.,Большой баллон с пропаном. Не разбирать. Не бросать в огонь. Не использовать вблизи открытого огня.,A large Butane canister. Do not puncture. Do not throw in fire. Do not operate near open flame.,A large Butane canister. Do not puncture. Do not throw in fire. Do not operate near open flame.,A large Butane canister. Do not puncture. Do not throw in fire. Do not operate near open flame.,A large Butane canister. Do not puncture. Do not throw in fire. Do not operate near open flame.
STR_ITEMS_FIREWOOD,Firewood,Firewood,Firewood,Leña,Firewood,Firewood,Дрова,Firewood,Firewood,Firewood,Firewood
STR_ITEMS_FIREWOOD_DESC,Wooden material that is gathered and used for fuel for fires.,Wooden material that is gathered and used for fuel for fires.,Wooden material that is gathered and used for fuel for fires.,Wooden material that is gathered and used for fuel for fires.,Wooden material that is gathered and used for fuel for fires.,Wooden material that is gathered and used for fuel for fires.,"Древесный материал, который собирается и используется в качестве топлива для костра.",Wooden material that is gathered and used for fuel for fires.,Wooden material that is gathered and used for fuel for fires.,Wooden material that is gathered and used for fuel for fires.,Wooden material that is gathered and used for fuel for fires.
STR_ITEMS_ALKALINEBATTERY,Alkaline Battery,Alkaline Battery,Alkaline Battery,Pila alcalina,Alkaline Battery,Alkaline Battery,Батарейка,Alkaline Battery,Alkaline Battery,Alkaline Battery,
STR_ITEMS_ALKALINEBATTERY_DESC,"Cylindrical with electrical contacts on each end, this battery is typically used in electronics that require extended run time. A bump distinguishes the positive end.","Cylindrical with electrical contacts on each end, this battery is typically used in electronics that require extended run time. A bump distinguishes the positive end.","Cylindrical with electrical contacts on each end, this battery is typically used in electronics that require extended run time. A bump distinguishes the positive end.","Cilíndrica y con contactos eléctricos en ambos extremos, este tipo de pilas las suelen utilizar los artilugios electrónicos que requieren un tiempo de funcionamiento prolongado. El extremo con un bulto distingue la terminación positiva.","Cylindrical with electrical contacts on each end, this battery is typically used in electronics that require extended run time. A bump distinguishes the positive end.","Cylindrical with electrical contacts on each end, this battery is typically used in electronics that require extended run time. A bump distinguishes the positive end.","Цилиндрическая батарейка с клеммами по обе стороны, обычно используется в электронике, требующей продолжительного времени работы. Выпуклая часть батарейки - положительная.","Cylindrical with electrical contacts on each end, this battery is typically used in electronics that require extended run time. A bump distinguishes the positive end.","Cylindrical with electrical contacts on each end, this battery is typically used in electronics that require extended run time. A bump distinguishes the positive end.","Cylindrical with electrical contacts on each end, this battery is typically used in electronics that require extended run time. A bump distinguishes the positive end.","Cylindrical with electrical contacts on each end, this battery is typically used in electronics that require extended run time. A bump distinguishes the positive end."
STR_USERACTIONS_BANDAGE_APPLY,Apply Bandage,Apply Bandage,Apply Bandage,Aplicar venda,Apply Bandage,Apply Bandage,Применить бинт,Apply Bandage,Apply Bandage,Apply Bandage,Apply Bandage
STR_ITEMS_BANDAGE,Bandage,Bandage,Bandage,Venda,Bandage,Bandage,Бинт,Bandage,Bandage,Bandage,Bandage
STR_ITEMS_STONE,Stone,Stone,Stone,Piedra,Stone,Stone,Камень,Stone,Stone,Stone,Stone
STR_ITEMS_STONE_DESC,"Smooth fragment of rock, commonly used for constructing a fireplace or throwing into a window.","Smooth fragment of rock, commonly used for constructing a fireplace or throwing into a window.","Smooth fragment of rock, commonly used for constructing a fireplace or throwing into a window.","Un fragmento liso de una roca, se suele utilizar para construir una hoguera o lanzarlo a una ventana.","Smooth fragment of rock, commonly used for constructing a fireplace or throwing into a window.","Smooth fragment of rock, commonly used for constructing a fireplace or throwing into a window.",Гладкий каменный осколок. Часто используется для оборудования очага или бросания по окнам.,"Smooth fragment of rock, commonly used for constructing a fireplace or throwing into a window.","Smooth fragment of rock, commonly used for constructing a fireplace or throwing into a window.","Smooth fragment of rock, commonly used for constructing a fireplace or throwing into a window.","Smooth fragment of rock, commonly used for constructing a fireplace or throwing into a window."
STR_ITEMS_300RNDBOX_DESC,A large metal storage box presumably for holding ammunition. The box has 'Contains 300 x 5.56mm cartridges' written on it's side in yellow paint. Can only contain Ammunition.,A large metal storage box presumably for holding ammunition. The box has 'Contains 300 x 5.56mm cartridges' written on it's side in yellow paint. Can only contain Ammunition.,A large metal storage box presumably for holding ammunition. The box has 'Contains 300 x 5.56mm cartridges' written on it's side in yellow paint. Can only contain Ammunition.,Una caja de metal para almacenar munición. La caja tiene escrito en un lateral 'Contiene 300 cartuchos de 5.56mm' con tinta amarilla. Solo puede contener munición.,A large metal storage box presumably for holding ammunition. The box has 'Contains 300 x 5.56mm cartridges' written on it's side in yellow paint. Can only contain Ammunition.,A large metal storage box presumably for holding ammunition. The box has 'Contains 300 x 5.56mm cartridges' written on it's side in yellow paint. Can only contain Ammunition.,"Большая металлическая коробка, предположительно для хранения боеприпасов. Желтой краской на коробке написано 'Содержит 300 патронов калибра 5.56 мм'. Только для хранения боеприпасов.",A large metal storage box presumably for holding ammunition. The box has 'Contains 300 x 5.56mm cartridges' written on it's side in yellow paint. Can only contain Ammunition.,A large metal storage box presumably for holding ammunition. The box has 'Contains 300 x 5.56mm cartridges' written on it's side in yellow paint. Can only contain Ammunition.,A large metal storage box presumably for holding ammunition. The box has 'Contains 300 x 5.56mm cartridges' written on it's side in yellow paint. Can only contain Ammunition.,A large metal storage box presumably for holding ammunition. The box has 'Contains 300 x 5.56mm cartridges' written on it's side in yellow paint. Can only contain Ammunition.
STR_ITEMS_300RNDBOX,300 Round Box,300 Round Box,300 Round Box,Caja de munición,300 Round Box,300 Round Box,Коробка патронов 300 шт.,300 Round Box,300 Round Box,300 Round Box,300 Round Box
STR_USERACTIONS_TURNON,Turn On,Turn On,Turn On,Encender,Turn On,Turn On,Включить,Turn On,Turn On,Turn On,Turn On
STR_USERACTIONS_TURNOFF,Turn Off,Turn Off,Turn Off,Apagar,Turn Off,Turn Off,Выключить,Turn Off,Turn Off,Turn Off,Turn Off
STR_ITEMS_FAK_DESC,"A collection of supplies and equipment for use in giving first aid, purchased complete. Looks like the kind of kit people usually have in their homes. Can only contain Medical items.","A collection of supplies and equipment for use in giving first aid, purchased complete. Looks like the kind of kit people usually have in their homes. Can only contain Medical items.","A collection of supplies and equipment for use in giving first aid, purchased complete. Looks like the kind of kit people usually have in their homes. Can only contain Medical items.","A collection of supplies and equipment for use in giving first aid, purchased complete. Looks like the kind of kit people usually have in their homes. Can only contain Medical items.","A collection of supplies and equipment for use in giving first aid, purchased complete. Looks like the kind of kit people usually have in their homes. Can only contain Medical items.","A collection of supplies and equipment for use in giving first aid, purchased complete. Looks like the kind of kit people usually have in their homes. Can only contain Medical items.","Набор принадлежностей и оборудования для оказания первой помощи, купленный в сборе. Похожие комплекты люди обычно имеют у себя дома. Только для хранения медицинских изделий.","A collection of supplies and equipment for use in giving first aid, purchased complete. Looks like the kind of kit people usually have in their homes. Can only contain Medical items.","A collection of supplies and equipment for use in giving first aid, purchased complete. Looks like the kind of kit people usually have in their homes. Can only contain Medical items.","A collection of supplies and equipment for use in giving first aid, purchased complete. Looks like the kind of kit people usually have in their homes. Can only contain Medical items.","A collection of supplies and equipment for use in giving first aid, purchased complete. Looks like the kind of kit people usually have in their homes. Can only contain Medical items."
STR_ITEMS_FAK,First Aid Kit,First Aid Kit,First Aid Kit,Kit de primeros auxilios,First Aid Kit,First Aid Kit,Аптечка,First Aid Kit,First Aid Kit,First Aid Kit,First Aid Kit
STR_ITEMS_SMALLPROTECTORCASE_DESC,"A molded plastic container that seals with an airtight and watertight gasket. Meets standards for waterproofing, stacking, impact, and durability to military standards.","A molded plastic container that seals with an airtight and watertight gasket. Meets standards for waterproofing, stacking, impact, and durability to military standards.","A molded plastic container that seals with an airtight and watertight gasket. Meets standards for waterproofing, stacking, impact, and durability to military standards.","Un maletín de plástico con una cerradura de junta hermética y resistente al agua. Está a prueba de agua, peso e impactos y su durabilidad es aplicable a propósitos militares.","A molded plastic container that seals with an airtight and watertight gasket. Meets standards for waterproofing, stacking, impact, and durability to military standards.","A molded plastic container that seals with an airtight and watertight gasket. Meets standards for waterproofing, stacking, impact, and durability to military standards.","Литой пластиковый контейнер, специальная прокладка обеспечивает его герметичность при закрытии. Соответствует военным стандартам водонепроницаемости, укладки, сопротивления внешним воздействиям, и долговечности.","A molded plastic container that seals with an airtight and watertight gasket. Meets standards for waterproofing, stacking, impact, and durability to military standards.","A molded plastic container that seals with an airtight and watertight gasket. Meets standards for waterproofing, stacking, impact, and durability to military standards.","A molded plastic container that seals with an airtight and watertight gasket. Meets standards for waterproofing, stacking, impact, and durability to military standards.","A molded plastic container that seals with an airtight and watertight gasket. Meets standards for waterproofing, stacking, impact, and durability to military standards."
STR_ITEMS_SMALLPROTECTORCASE,Maletín pequeño,Small Protector Case,Small Protector Case,Small Protector Case,Small Protector Case,Small Protector Case,Небольшой защитный ящик,Small Protector Case,Small Protector Case,Small Protector Case,Small Protector Case
STR_USERACTIONS_LICK,Lick,Lick,Lick,Lamer,Lick,Lick,Лизнуть,Lick,Lick,Lick,Lick
STR_USERACTIONS_LICKBATTERY,Lick battery,Lick battery,Lick battery,Lamer pila,Lick battery,Lick battery,Лизнуть батарейку,Lick battery,Lick battery,Lick battery,Lick battery
STR_ITEMS_REFRIGERATOR,Refrigerator,Refrigerator,Refrigerator,Refrigerator,Refrigerator,Refrigerator,Холодильник,Refrigerator,Refrigerator,Refrigerator,Refrigerator
STR_ITEMS_MATCHBOX_DESC,A box of large kitchen matches. Contains 250 matches. Store in dry place and keep away from children.,A box of large kitchen matches. Contains 250 matches. Store in dry place and keep away from children.,A box of large kitchen matches. Contains 250 matches. Store in dry place and keep away from children.,Una caja de cerillas de cocina grandes. Contiene 250 cerillas. Guardadas en un lugar seco y fuera del alcance de los niños.,A box of large kitchen matches. Contains 250 matches. Store in dry place and keep away from children.,A box of large kitchen matches. Contains 250 matches. Store in dry place and keep away from children.,"Коробок больших кухонных спичек. Содержит 250 штук. Хранить в сухом месте, беречь от детей.",A box of large kitchen matches. Contains 250 matches. Store in dry place and keep away from children.,A box of large kitchen matches. Contains 250 matches. Store in dry place and keep away from children.,A box of large kitchen matches. Contains 250 matches. Store in dry place and keep away from children.,A box of large kitchen matches. Contains 250 matches. Store in dry place and keep away from children.
STR_ITEMS_MATCHBOX,Matchbox,Matchbox,Matchbox,Caja de cerillas,Matchbox,Matchbox,Спички,Matchbox,Matchbox,Matchbox,Matchbox
STR_ITEMS_ROADFLARE_DESC,A flare that burns for 10–60 minutes with a bright red light. Commonly used to indicate obstacles or advise caution on roadways at night and are found in roadside emergency kits.,A flare that burns for 10–60 minutes with a bright red light. Commonly used to indicate obstacles or advise caution on roadways at night and are found in roadside emergency kits.,A flare that burns for 10–60 minutes with a bright red light. Commonly used to indicate obstacles or advise caution on roadways at night and are found in roadside emergency kits.,Una bengala que se mantiene iluminada entre 10 y 60 minutos con un tono rojo brillante. Se suele utilizar para indicar obstáculos o avisar de peligro en carreteras durante la noche. Se encuentran en los kits de emergencia en carretera.,A flare that burns for 10–60 minutes with a bright red light. Commonly used to indicate obstacles or advise caution on roadways at night and are found in roadside emergency kits.,A flare that burns for 10–60 minutes with a bright red light. Commonly used to indicate obstacles or advise caution on roadways at night and are found in roadside emergency kits.,"Фальшфейер, который горит ярко-красным светом от 10 до 60 минут. Обычно используется для обозначения препятствий или для предостережения об опасности на дорогах в ночное время. Можно найти в дорожных аварийных комплектах.",A flare that burns for 10–60 minutes with a bright red light. Commonly used to indicate obstacles or advise caution on roadways at night and are found in roadside emergency kits.,A flare that burns for 10–60 minutes with a bright red light. Commonly used to indicate obstacles or advise caution on roadways at night and are found in roadside emergency kits.,A flare that burns for 10–60 minutes with a bright red light. Commonly used to indicate obstacles or advise caution on roadways at night and are found in roadside emergency kits.,A flare that burns for 10–60 minutes with a bright red light. Commonly used to indicate obstacles or advise caution on roadways at night and are found in roadside emergency kits.
STR_ITEMS_ROADFLARE,Road Flare,Road Flare,Road Flare,Bengala,Road Flare,Road Flare,Фальшфейер,Road Flare,Road Flare,Road Flare,Road Flare
STR_USERACTIONS_OPENCOVER,Open Cover,Open Cover,Open Cover,Open Cover,Open Cover,Open Cover,Открыть крышку,Open Cover,Open Cover,Open Cover,Open Cover
STR_ITEMS_COMPASS_DESC,A magnetic compass that contains a magnet which interacts with the earth's magnetic field and aligns itself to point to the magnetic poles.,A magnetic compass that contains a magnet which interacts with the earth's magnetic field and aligns itself to point to the magnetic poles.,A magnetic compass that contains a magnet which interacts with the earth's magnetic field and aligns itself to point to the magnetic poles.,A magnetic compass that contains a magnet which interacts with the earth's magnetic field and aligns itself to point to the magnetic poles.,A magnetic compass that contains a magnet which interacts with the earth's magnetic field and aligns itself to point to the magnetic poles.,A magnetic compass that contains a magnet which interacts with the earth's magnetic field and aligns itself to point to the magnetic poles.,"Компас, содержащий магнит, который взаимодействует с магнитными полями земли, тем самым выравнивая себя по направлению к магнитным полюсам.",A magnetic compass that contains a magnet which interacts with the earth's magnetic field and aligns itself to point to the magnetic poles.,A magnetic compass that contains a magnet which interacts with the earth's magnetic field and aligns itself to point to the magnetic poles.,A magnetic compass that contains a magnet which interacts with the earth's magnetic field and aligns itself to point to the magnetic poles.,A magnetic compass that contains a magnet which interacts with the earth's magnetic field and aligns itself to point to the magnetic poles.
STR_ITEMS_BINOCULARS,Binoculars,Binoculars,Binoculars,Binoculars,Binoculars,Binoculars,Бинокль,Binoculars,Binoculars,Binoculars,Binoculars
STR_USERACTIONS_CLOSECOVER,Close Cover,Close Cover,Close Cover,Close Cover,Close Cover,Close Cover,Close Cover,Close Cover,Close Cover,Close Cover,Close Cover
STR_ITEMS_MAPNORTH,Map of N Chernarus,Map of N Chernarus,Map of N Chernarus,Map of N Chernarus,Map of N Chernarus,Map of N Chernarus,Карта севера Чернаруси,Map of N Chernarus,Map of N Chernarus,Map of N Chernarus,Map of N Chernarus
STR_ITEMS_MAPSOUTH_DESC,"Tourist map of the S region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the S region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the S region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the S region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the S region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the S region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the S region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the S region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the S region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the S region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the S region of Chernarus. Shows all the roads, buildings, points of interest and terrain."
STR_ITEMS_COMPASS,Compass,Compass,Compass,Compass,Compass,Compass,Компас,Compass,Compass,Compass,Compass
STR_ITEMS_MAPNORTH_DESC,"Tourist map of the N region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the N region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the N region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the N region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the N region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the N region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the N region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the N region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the N region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the N region of Chernarus. Shows all the roads, buildings, points of interest and terrain.","Tourist map of the N region of Chernarus. Shows all the roads, buildings, points of interest and terrain."
STR_ITEMS_MAPKRASNO,Map of Krasnostav,Map of Krasnostav,Map of Krasnostav,Map of Krasnostav,Map of Krasnostav,Map of Krasnostav,Карта Красностава,Map of Krasnostav,Map of Krasnostav,Map of Krasnostav,Map of Krasnostav
STR_ITEMS_CROSSBOW_DESC,"A type of bow consisting of a horizontal limb assembly mounted on a stock that shoots projectiles, called bolts or quarrels.","A type of bow consisting of a horizontal limb assembly mounted on a stock that shoots projectiles, called bolts or quarrels.","A type of bow consisting of a horizontal limb assembly mounted on a stock that shoots projectiles, called bolts or quarrels.","A type of bow consisting of a horizontal limb assembly mounted on a stock that shoots projectiles, called bolts or quarrels.","A type of bow consisting of a horizontal limb assembly mounted on a stock that shoots projectiles, called bolts or quarrels.","A type of bow consisting of a horizontal limb assembly mounted on a stock that shoots projectiles, called bolts or quarrels.","Тип лука, состоящий из плечей, горизонтально установленных на ложе. Стреляет снарядами, называемыми болтами.","A type of bow consisting of a horizontal limb assembly mounted on a stock that shoots projectiles, called bolts or quarrels.","A type of bow consisting of a horizontal limb assembly mounted on a stock that shoots projectiles, called bolts or quarrels.","A type of bow consisting of a horizontal limb assembly mounted on a stock that shoots projectiles, called bolts or quarrels.","A type of bow consisting of a horizontal limb assembly mounted on a stock that shoots projectiles, called bolts or quarrels."
STR_USERACTIONS_WRECK_CLOSEFRONTRIGHT,Close front right door,Close front right door,Close front right door,Close front right door,Close front right door,Close front right door,Закрыть переднюю правую дверь,Close front right door,Close front right door,Close front right door,Close front right door
STR_USERACTIONS_WRECK_CLOSEFRONTLEFT,Close front left door,Close front left door,Close front left door,Close front left door,Close front left door,Close front left door,Закрыть переднюю левую дверь,Close front left door,Close front left door,,Close front left door
STR_ITEMS_P1MAGAZINE,8Rnd P1 Magazine,8Rnd P1 Magazine,8Rnd P1 Magazine,8Rnd P1 Magazine,8Rnd P1 Magazine,8Rnd P1 Magazine,Магазин к П1 8 патр.,8Rnd P1 Magazine,8Rnd P1 Magazine,8Rnd P1 Magazine,8Rnd P1 Magazine
STR_ITEMS_BINOCULARS_DESC,Binoculars from Soviet era,Binoculars from Soviet era,Binoculars from Soviet era,Binoculars from Soviet era,Binoculars from Soviet era,Binoculars from Soviet era,Бинокль эпохи СССР,Binoculars from Soviet era,Binoculars from Soviet era,Binoculars from Soviet era,Binoculars from Soviet era
STR_ITEMS_CROSSBOW,Crossbow,Crossbow,Crossbow,Crossbow,Crossbow,Crossbow,Арбалет,Crossbow,Crossbow,Crossbow,Crossbow
STR_ITEMS_P1MAGAZINE_DESC,A magazine for 8 9mm rounds.,A magazine for 8 9mm rounds.,A magazine for 8 9mm rounds.,A magazine for 8 9mm rounds.,A magazine for 8 9mm rounds.,A magazine for 8 9mm rounds.,Магазин на 8 патронов.,A magazine for 8 9mm rounds.,A magazine for 8 9mm rounds.,A magazine for 8 9mm rounds.,A magazine for 8 9mm rounds.
STR_USERACTIONS_WRECK_OPENFRONTLEFT,Open front left door,Open front left door,Open front left door,Open front left door,Open front left door,Open front left door,Открыть переднюю левую дверь,Open front left door,Open front left door,Open front left door,Open front left door
STR_USERACTIONS_WRECK_OPENFRONTRIGHT,Open front right door,Open front right door,Open front right door,Open front right door,Open front right door,Open front right door,Открыть переднюю правую дверь,Open front right door,Open front right door,Open front right door,Open front right door
STR_USERACTIONS_WRECK_OPENBACKLEFT,Open back left door,Open back left door,Open back left door,Open back left door,Open back left door,Open back left door,Открыть заднюю левую дверь,Open back left door,Open back left door,Open back left door,Open back left door
STR_USERACTIONS_WRECK_OPENBACKRIGHT,Open back right door,Open back right door,Open back right door,Open back right door,Open back right door,Open back right door,Открыть заднюю правую дверь,Open back right door,Open back right door,Open back right door,Open back right door
STR_USERACTIONS_WRECK_CLOSEBACKLEFT,Close back left door,Close back left door,Close back left door,Close back left door,Close back left door,Close back left door,Закрыть заднюю левую дверь,Close back left door,Close back left door,Close back left door,Close back left door
Close back right door,,,,,,,Закрыть правую заднюю дверь,,,,
STR_USERACTIONS_WRECK_CLOSEBACKRIGHT,Close back right door,Close back right door,Close back right door,Close back right door,Close back right door,Close back right door,Закрыть заднюю правую дверь,Close back right door,Close back right door,Close back right door,Close back right door
STR_USERACTIONS_WRECK_CLOSEBOOT,Close boot,Close boot,Close boot,Close boot,Close boot,Close boot,Закрыть багажник,Close boot,Close boot,Close boot,Close boot
STR_ITEMS_FISHINGBAIT_DESC,A substance used to attract and catch fish,A substance used to attract and catch fish,A substance used to attract and catch fish,A substance used to attract and catch fish,A substance used to attract and catch fish,A substance used to attract and catch fish,"Предмет, который используется для привлечения  и ловли рыбы.",A substance used to attract and catch fish,A substance used to attract and catch fish,A substance used to attract and catch fish,A substance used to attract and catch fish
STR_ITEMS_IMPROVISEDFISHINGROD,Improvised Fishing Rod,Improvised Fishing Rod,Improvised Fishing Rod,Improvised Fishing Rod,Improvised Fishing Rod,Improvised Fishing Rod,Самодельная удочка,Improvised Fishing Rod,Improvised Fishing Rod,Improvised Fishing Rod,Improvised Fishing Rod
STR_ITEMS_IMPROVISEDFISHINGROD_DESC,"A rope attached to a stick forming an improvised fishing rod. It's not perfect, but serves its purpose quite well.","A rope attached to a stick forming an improvised fishing rod. It's not perfect, but serves its purpose quite well.","A rope attached to a stick forming an improvised fishing rod. It's not perfect, but serves its purpose quite well.","A rope attached to a stick forming an improvised fishing rod. It's not perfect, but serves its purpose quite well.","A rope attached to a stick forming an improvised fishing rod. It's not perfect, but serves its purpose quite well.","A rope attached to a stick forming an improvised fishing rod. It's not perfect, but serves its purpose quite well.","Удочка из веревки, присоединенной к палке. Не идеальна, но вполне пригодна для ловли рыбы.","A rope attached to a stick forming an improvised fishing rod. It's not perfect, but serves its purpose quite well.","A rope attached to a stick forming an improvised fishing rod. It's not perfect, but serves its purpose quite well.","A rope attached to a stick forming an improvised fishing rod. It's not perfect, but serves its purpose quite well.","A rope attached to a stick forming an improvised fishing rod. It's not perfect, but serves its purpose quite well."
STR_ITEMS_OBSOLETEFISHINGROD,Obsolete Fishing Rod,Obsolete Fishing Rod,Obsolete Fishing Rod,Obsolete Fishing Rod,Obsolete Fishing Rod,Obsolete Fishing Rod,Старая удочка,Obsolete Fishing Rod,Obsolete Fishing Rod,Obsolete Fishing Rod,Obsolete Fishing Rod
STR_USERACTIONS_WRECK_OPEN,Open boot,Open boot,Open boot,Open boot,Open boot,Open boot,Открыть багажник,Open boot,Open boot,Open boot,Open boot
$STR_ITEMS_FISHINGHOOK,Fishing hook,Fishing hook,Fishing hook,Fishing hook,Fishing hook,Fishing hook,Рыболовный крючок,Fishing hook,Fishing hook,Fishing hook,Fishing hook
STR_ITEMS_FISHINGHOOK_DESC,"A sharp and curved device for catching fish either by impaling them in the mouth or, more rarely, by snagging the body of the fish.","A sharp and curved device for catching fish either by impaling them in the mouth or, more rarely, by snagging the body of the fish.","A sharp and curved device for catching fish either by impaling them in the mouth or, more rarely, by snagging the body of the fish.","A sharp and curved device for catching fish either by impaling them in the mouth or, more rarely, by snagging the body of the fish.","A sharp and curved device for catching fish either by impaling them in the mouth or, more rarely, by snagging the body of the fish.","A sharp and curved device for catching fish either by impaling them in the mouth or, more rarely, by snagging the body of the fish.","A sharp and curved device for catching fish either by impaling them in the mouth or, more rarely, by snagging the body of the fish.","A sharp and curved device for catching fish either by impaling them in the mouth or, more rarely, by snagging the body of the fish.","A sharp and curved device for catching fish either by impaling them in the mouth or, more rarely, by snagging the body of the fish.","A sharp and curved device for catching fish either by impaling them in the mouth or, more rarely, by snagging the body of the fish.","A sharp and curved device for catching fish either by impaling them in the mouth or, more rarely, by snagging the body of the fish."
STR_ITEMS_FISHINGBAIT,Fishing bait,Fishing bait,Fishing bait,Fishing bait,Fishing bait,Fishing bait,Наживка,Fishing bait,Fishing bait,Fishing bait,Fishing bait
STR_ITEMS_FISHFILLETRAW,Raw Fish Fillet,Raw Fish Fillet,Raw Fish Fillet,Raw Fish Fillet,Raw Fish Fillet,Raw Fish Fillet,Сырое рыбное филе,Raw Fish Fillet,Raw Fish Fillet,Raw Fish Fillet,Raw Fish Fillet
